label,x,y,plot_type,plot_num
CH,0.0,125662.20965488155,path,0
CH,1188.830086387836,125662.20965488155,path,0
CH,1254.9322161691935,125662.20965488155,path,0
CH,1324.7098010148725,125662.20965488155,path,0
CH,1398.3672060485758,125662.20965488155,path,0
CH,1476.1201596410226,125662.20965488155,path,0
CH,1558.1963852368447,125662.20965488155,path,0
CH,1644.836268312757,125662.20965488155,path,0
CH,1736.2935604203722,125662.20965488155,path,0
CH,1832.83612237569,125662.20965488155,path,0
CH,1934.746708771897,125662.20965488155,path,0
CH,2042.323796113185,37543.16025619333,path,0
CH,2155.882456995011,37543.16025619333,path,0
CH,2275.7552828911294,37543.16025619333,path,0
CH,2402.2933582500364,37543.16025619333,path,0
CH,2535.8672887537873,37543.16025619333,path,0
CH,2676.8682867507523,37543.16025619333,path,0
CH,2825.7093170413273,37543.16025619333,path,0
CH,2982.8263063724007,37543.16025619333,path,0
CH,3148.679420182941,37543.16025619333,path,0
CH,3323.7544103400483,37543.16025619333,path,0
CH,3508.5640378127346,37543.16025619333,path,0
CH,3703.6495744501717,37543.16025619333,path,0
CH,3909.5823882628156,91102.25677787466,path,0
CH,4126.965616849402,91102.25677787466,path,0
CH,4356.435933870957,91102.25677787466,path,0
CH,4598.665413745479,91102.25677787466,path,0
CH,4854.363500024628,91102.25677787466,path,0
CH,5124.279083217422,91102.25677787466,path,0
CH,5409.202694146487,91102.25677787466,path,0
CH,5709.968819260764,91102.25677787466,path,0
CH,6027.458344685801,91102.25677787466,path,0
CH,6362.601136169771,91102.25677787466,path,0
CH,6716.378762481376,91102.25677787466,path,0
CH,7089.827370235959,91102.25677787466,path,0
CH,7484.040718569633,91102.25677787466,path,0
CH,7900.17338254939,91102.25677787466,path,0
CH,8339.444134701387,91102.25677787466,path,0
CH,8803.139514561226,91102.25677787466,path,0
CH,9292.617596700786,91102.25677787466,path,0
CH,9809.311968267397,91102.25677787466,path,0
CH,10354.735927684842,91102.25677787466,path,0
CH,10930.486916813335,91102.25677787466,path,0
CH,11538.251199549457,91102.25677787466,path,0
CH,12179.808800568739,91102.25677787466,path,0
CH,12857.038718675529,91102.25677787466,path,0
CH,13571.924430029041,91102.25677787466,path,0
CH,14326.559697363526,91102.25677787466,path,0
CH,15123.154702216505,91102.25677787466,path,0
CH,15964.042518125409,91102.25677787466,path,0
CH,16851.68594375115,91102.25677787466,path,0
CH,17788.684715941636,91102.25677787466,path,0
CH,18777.78312386099,91102.25677787466,path,0
CH,19821.878046484526,91102.25677787466,path,0
CH,20924.027437000135,91102.25677787466,path,0
CH,22087.459278964845,91102.25677787466,path,0
CH,23315.581040447825,91102.25677787466,path,0
CH,24611.989653848817,148929.8160065493,path,0
CH,25980.482050621325,148929.8160065493,path,0
CH,27425.066281754363,148929.8160065493,path,0
CH,28949.97325658294,148929.8160065493,path,0
CH,30559.66913430753,148929.8160065493,path,0
CH,32258.868404515393,148929.8160065493,path,0
CH,34052.547695013556,148929.8160065493,path,0
CH,35945.960347414526,148929.8160065493,path,0
CH,37944.6518031632,148929.8160065493,path,0
CH,40054.47584506824,148929.8160065493,path,0
CH,42281.6117419059,148929.8160065493,path,0
CH,44632.58234630954,148929.8160065493,path,0
CH,47114.27319895036,148929.8160065493,path,0
CH,49733.95269496149,148929.8160065493,path,0
CH,52499.293371669235,148929.8160065493,path,0
CH,55418.39437997892,148929.8160065493,path,0
CH,58499.805205230165,148929.8160065493,path,0
CH,61752.550706994596,129686.58913537796,path,0
CH,65186.15755115379,129686.58913537796,path,0
CH,68810.68211167089,129686.58913537796,path,0
CH,72636.73992377572,129686.58913537796,path,0
CH,76675.53677482525,129686.58913537796,path,0
CH,80938.90152389949,129686.58913537796,path,0
CH,85439.32074625409,129686.58913537796,path,0
CH,90189.97530409768,129686.58913537796,path,0
CH,95204.77895080145,129686.58913537796,path,0
CH,100498.4190816067,129686.58913537796,path,0
CH,106086.3997501801,129686.58913537796,path,0
CH,111985.0870770044,124483.16223116119,path,0
CH,118211.75718259752,124483.16223116119,path,0
CH,124784.6467859459,124483.16223116119,path,0
CH,131723.0066163469,124483.16223116119,path,0
CH,139047.15779509142,124483.16223116119,path,0
CH,146778.55135211942,124483.16223116119,path,0
CH,154939.83105196062,124483.16223116119,path,0
CH,163554.89971296448,124483.16223116119,path,0
CH,172648.9892140577,61571.11933305307,path,0
CH,182248.73439406368,61571.11933305307,path,0
CH,192382.2510600227,61571.11933305307,path,0
CH,203079.21833298146,61571.11933305307,path,0
CH,214370.96557243,61571.11933305307,path,0
CH,226290.56413396986,61571.11933305307,path,0
CH,238872.92422895198,61571.11933305307,path,0
CH,252154.89716977088,68213.61651108983,path,0
