label,x,y,plot_type,plot_num
GR,0.0,36875.895445208575,path,0
GR,724.3042241145106,36875.895445208575,path,0
GR,769.7783630703509,36875.895445208575,path,0
GR,818.1075141121738,36875.895445208575,path,0
GR,869.470924042629,36875.895445208575,path,0
GR,924.0590933527203,36875.895445208575,path,0
GR,982.0744827644024,36875.895445208575,path,0
GR,1043.7322641321841,36875.895445208575,path,0
GR,1109.2611184887437,36875.895445208575,path,0
GR,1178.904084194399,36875.895445208575,path,0
GR,1252.9194583361189,36301.28239143289,path,0
GR,1331.5817547192541,36301.28239143289,path,0
GR,1415.1827220050552,36301.28239143289,path,0
GR,1504.0324257701245,36301.28239143289,path,0
GR,1598.4603985010237,36301.28239143289,path,0
GR,1698.8168617892331,36301.28239143289,path,0
GR,1805.4740252594206,36301.28239143289,path,0
GR,1918.8274670485807,36301.28239143289,path,0
GR,2039.29760095609,36301.28239143289,path,0
GR,2167.331235706132,92987.2428047815,path,0
GR,2303.4032321056056,92987.2428047815,path,0
GR,2448.0182642437335,92987.2428047815,path,0
GR,2601.7126912654035,92987.2428047815,path,0
GR,2765.056546660441,92987.2428047815,path,0
GR,2938.6556524468433,92987.2428047815,path,0
GR,3123.1538660891906,92987.2428047815,path,0
GR,3319.2354684858037,92987.2428047815,path,0
GR,3527.627701881386,92987.2428047815,path,0
GR,3749.103467117935,92987.2428047815,path,0
GR,3984.4841902277167,92987.2428047815,path,0
GR,4234.64286900013,92987.2428047815,path,0
GR,4500.507310821784,92987.2428047815,path,0
GR,4783.063573798553,92987.2428047815,path,0
GR,5083.359623922301,92987.2428047815,path,0
GR,5402.509221846232,92987.2428047815,path,0
GR,5741.696053684455,92987.2428047815,path,0
GR,6102.178121156379,92987.2428047815,path,0
GR,6485.292407358421,92987.2428047815,path,0
GR,6892.45983546781,92987.2428047815,path,0
GR,7325.190538769712,92987.2428047815,path,0
GR,7785.089461553515,92987.2428047815,path,0
GR,8273.862311651323,92987.2428047815,path,0
GR,8793.321886695907,92987.2428047815,path,0
GR,9345.394797561363,92987.2428047815,path,0
GR,9932.128613922903,92987.2428047815,path,0
GR,10555.699458437819,92987.2428047815,path,0
GR,11218.420077713405,92987.2428047815,path,0
GR,11922.7484199961,92987.2428047815,path,0
GR,12671.29675139546,92987.2428047815,path,0
GR,13466.841344453847,92987.2428047815,path,0
GR,14312.33277499551,92987.2428047815,path,0
GR,15210.906865444933,92987.2428047815,path,0
GR,16165.896315201662,92987.2428047815,path,0
GR,17180.84306120733,92987.2428047815,path,0
GR,18259.51141454874,92987.2428047815,path,0
GR,19405.902021818856,92987.2428047815,path,0
GR,20624.266703016816,92987.2428047815,path,0
GR,21919.124221018836,92987.2428047815,path,0
GR,23295.27704110698,92987.2428047815,path,0
GR,24757.829142714785,165338.4550126026,path,0
GR,26312.204949451443,165338.4550126026,path,0
GR,27964.169447613396,165338.4550126026,path,0
GR,29719.849567800557,165338.4550126026,path,0
GR,31585.75690893897,165338.4550126026,path,0
GR,33568.81188899029,165338.4550126026,path,0
GR,35676.36941192014,165338.4550126026,path,0
GR,37916.24614612106,165338.4550126026,path,0
GR,40296.74951546213,165338.4550126026,path,0
GR,42826.70851048947,165338.4550126026,path,0
GR,45515.506434052826,165338.4550126026,path,0
GR,48373.1157028072,165338.4550126026,path,0
GR,51410.13483366431,165338.4550126026,path,0
GR,54637.827752372075,165338.4550126026,path,0
GR,58068.16557001241,165338.4550126026,path,0
GR,61713.87098236135,165338.4550126026,path,0
GR,65588.4654567835,165338.4550126026,path,0
GR,69706.31938167042,165338.4550126026,path,0
GR,74082.7053644216,173024.29104425487,path,0
GR,78733.85487564371,173024.29104425487,path,0
GR,83677.01844965313,173024.29104425487,path,0
GR,88930.52966455983,173024.29104425487,path,0
GR,94513.87313922572,173024.29104425487,path,0
GR,100447.75679928891,173024.29104425487,path,0
GR,106754.18868028137,173024.29104425487,path,0
GR,113456.5585526924,173024.29104425487,path,0
GR,120579.72467171382,173024.29104425487,path,0
GR,128150.10597341327,173024.29104425487,path,0
GR,136195.78005927827,138983.45639899114,path,0
GR,144746.587332543,138983.45639899114,path,0
GR,153834.24167252792,138983.45639899114,path,0
GR,163492.44805746945,138983.45639899114,path,0
GR,173757.02757208582,138983.45639899114,path,0
GR,184666.05026351984,138983.45639899114,path,0
GR,196259.97633840342,138983.45639899114,path,0
GR,208581.80622472413,80191.43571131965,path,0
GR,221677.24005505836,80191.43571131965,path,0
GR,235594.84716267235,80191.43571131965,path,0
GR,250386.24621912956,80191.43571131965,path,0
GR,266106.29668151605,80191.43571131965,path,0
GR,282813.3022593356,80191.43571131965,path,0
GR,300569.2271557061,80191.43571131965,path,0
