lod,lg,ss,count,prop_snps,occurrence,spurious,LG count,
15,87,Super-Scaffold_100000100078,2,15.38461538,,,,
15,88,Super-Scaffold_100000100078,2,15.38461538,,,,
15,89,Super-Scaffold_3,2,0.063959066,,,,
15,90,Super-Scaffold_3,2,0.063959066,,,,
15,91,Super-Scaffold_3,2,0.063959066,,,,
15,92,Super-Scaffold_4,2,1.886792453,,,,
15,93,Super-Scaffold_5,2,0.061538462,,,,
15,94,Super-Scaffold_5,2,0.061538462,,,,
15,95,Super-Scaffold_5,2,0.061538462,,,,
15,96,Super-Scaffold_5,2,0.061538462,,,,
15,97,Super-Scaffold_6,2,0.027229408,,,,
15,98,Super-Scaffold_7,2,0.032420165,,,,
15,99,Super-Scaffold_7,2,0.032420165,,,,
15,100,Super-Scaffold_7,2,0.032420165,,,,
15,101,Super-Scaffold_7,2,0.032420165,,,,
15,102,Super-Scaffold_7,2,0.032420165,,,,
15,103,Super-Scaffold_8,2,0.06377551,,,,
15,104,Super-Scaffold_9,2,0.030275507,,,,
15,105,Super-Scaffold_9,2,0.030275507,,,,
15,106,Super-Scaffold_9,2,0.030275507,,,,
15,107,Super-Scaffold_9,2,0.030275507,,,,
15,108,Super-Scaffold_9,2,0.030275507,,,,
15,109,Super-Scaffold_9,2,0.030275507,,,,
15,110,Super-Scaffold_9,2,0.030275507,,,,
15,111,Super-Scaffold_10,2,0.043620502,,,,
15,112,Super-Scaffold_10,2,0.043620502,,,,
15,113,Super-Scaffold_14,2,0.021898609,,,,
15,114,Super-Scaffold_14,2,0.021898609,,,,
15,115,Super-Scaffold_14,2,0.021898609,,,,
15,116,Super-Scaffold_16,2,0.034399725,,,,
15,117,Super-Scaffold_16,2,0.034399725,,,,
15,118,Super-Scaffold_16,2,0.034399725,,,,
15,119,Super-Scaffold_17,2,0.057142857,,,,
15,120,Super-Scaffold_18,2,0.034083163,,,,
15,121,Super-Scaffold_18,2,0.034083163,,,,
15,122,Super-Scaffold_18,2,0.034083163,,,,
15,123,Super-Scaffold_18,2,0.034083163,,,,
15,124,Super-Scaffold_22,2,0.035106196,,,,
15,125,Super-Scaffold_23,2,0.051506567,,,,
15,126,Super-Scaffold_23,2,0.051506567,,,,
15,127,Super-Scaffold_23,2,0.051506567,,,,
15,128,Super-Scaffold_26,2,0.052042675,,,,
15,129,Super-Scaffold_26,2,0.052042675,,,,
15,130,Super-Scaffold_27,2,0.040683483,,,,
15,131,Super-Scaffold_28,2,0.065210303,,,,
15,132,Super-Scaffold_28,2,0.065210303,,,,
15,133,Super-Scaffold_29,2,0.070175439,,,,
15,134,Super-Scaffold_30,2,0.128287364,,,,
15,135,Super-Scaffold_33,2,0.068752149,,,,
15,136,Super-Scaffold_33,2,0.068752149,,,,
15,137,Super-Scaffold_33,2,0.068752149,,,,
15,138,Super-Scaffold_34,2,0.165425972,,,,
